Nº SAG,NOMBRE COMERCIAL ,APTITUD,SERIE,FORMULACIÓN (CÓDIGO),FORMULADO EN QUE SE BASA,INGREDIENTE ACTIVO EN QUE SE BASA,TOXICIDAD (CÓDIGO),TOXICIDAD PECES Y ALGAS,TOXICIDAD AVES,TOXICIDAD ABEJAS,INFLAMABLE,CORROSIVO,EXPLOSIVO,MODO DE ACCIÓN,TIPO DE PLAGUICIDA (NATURAL),REPRESENTANTE LEGAL,TITULAR AUTORIZACIÓN,FECHA PRIMERA AUTORIZACION,FECHA VENCIMIENTO,NORMA DE AUTORIZACION,SITUACION ,PAIS DE DESTINO (SOLO EXPORTACION)
1096,DIAZOL 40 WP,INSECTICIDA,1000 Insecticida,Polvo Mojable (WP),,NO APLICA,II (Moderadamente Peligroso),Tóxico,Extremadamente Tóxico,Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"Contacto, ingestión e inhalación",,"ROBERTO VARGAS GÁLVEZ
MARTIN EZEQUIEL BLANCK
CARLOS DANILOWICZ
GABRIEL GOLDSTEIN
RODRIGO SAAVEDRA ASPILLAGA 
NATALIA  SAAVEDRA ASPILLAGA
",MAKHTESHIM AGAN CHILE SpA,06/20/2007,06/20/2027,3670/1999,VIGENTE,
1104,BROMURO DE METILO 100%,INSECTICIDA - FUNGICIDA - NEMATICIDA - HERBICIDA - BACTERICIDA,1000 Insecticida,Gas  (GA),,,I a (Sumamente Peligroso),Extremadamente Tóxico,Extremadamente Tóxico,Extremadamente Tóxico,NO INFLAMABLE,CORROSIVO,NO EXPLOSIVO,Fumigante,,"ALEX HERRERA ALARCÓN 
HÉCTOR MARTÍNEZ BENGOECHEA",DEGESCH DE CHILE LTDA.,11/19/2003,11/19/2028,3670/1999,VIGENTE,
1120,KLERAT PELLETS,RATICIDA,1000 Insecticida,Cebo (RB),,,IV (Productos Que Normalmente No Ofrecen Peligro),Tóxico,Tóxico,Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Anticoagulante,,Pedro Donoso Maslov,SYNGENTA S.A.,05/10/2000,05/10/2030,3670/1999,VIGENTE,
1121,TOXIMOL,MOLUSQUICIDA,1000 Insecticida,Otras (XX),,,IV (Productos Que Normalmente No Ofrecen Peligro),Prácticamente No Tóxico,Prácticamente No Tóxico,Virtualmente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto y estomacal,,FRANCISCO DI SILVESTRI ,ANASAC AMBIENTAL S.A.,05/10/2000,05/10/2030,3670/1999,VIGENTE,
1128,PYRINEX 48 % EC ,INSECTICIDA,1000 Insecticida,Concentrado Emulsionable (EC),,,II (Moderadamente Peligroso),Tóxico,Tóxico,Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"Contacto, ingestión e inhalación",,"ROBERTO VARGAS GÁLVEZ
MARTIN EZEQUIEL BLANCK
CARLOS DANILOWICZ
GABRIEL GOLDSTEIN
RODRIGO SAAVEDRA ASPILLAGA 
NATALIA  SAAVEDRA ASPILLAGA
",MAKHTESHIM AGAN CHILE SpA,02/08/2007,02/08/2027,3670/1999,CANCELADO,
1131,ALSYSTIN 480 SC,INSECTICIDA,1000 Insecticida,Suspensión Concentrada (SC),,,IV (Productos Que Normalmente No Ofrecen Peligro),Muy Tóxico,Poco Tóxico,Poco Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto e ingestión,,"Vicente Bravo Palma
",BAYER S.A.,05/16/1988,10/19/2027,1178/1984,VIGENTE,
1150,METABROMO 1000,FUMIGANTE,1000 Insecticida,Gas  (GA),,,I b (Muy Peligroso),Tóxico,Tóxico,Tóxico,NO INFLAMABLE,CORROSIVO,NO EXPLOSIVO,Fumigante,,Gabriel Ormeño Hofer ,ANASAC CHILE S.A.,06/12/1985,06/12/2030,1178/1984,VIGENTE,
1164,MOCAP 6 EC,NEMATICIDA - INSECTICIDA,1000 Insecticida,Concentrado Emulsionable (EC),,,I b (Muy Peligroso),Tóxico,Tóxico,Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto,,RAÚL LUNA CATALÁN,ACRES S.A.,08/07/2000,08/07/2030,3670/1999,VIGENTE,
1176,KLERAT MINIBLOQUES,RODENTICIDA,1000 Insecticida,Cebo (RB),,,IV (Productos Que Normalmente No Ofrecen Peligro),Tóxico,Tóxico,Baja Peligrosidad,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Anticoagulante,,Pedro Donoso Maslov,SYNGENTA S.A.,08/21/1985,04/30/2027,1178/1984,VIGENTE,
1178,BASAMID GRANULADO,FUMIGANTE,1000 Insecticida,Granulado (GR),,,III (Poco Peligroso),Tóxico,Moderadamente Tóxico,Prácticamente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Fumigante,,KAZUTAKA SHIBA,MITSUI & CO. (CHILE) LTDA.,03/30/2007,03/30/2027,3670/1999,VIGENTE,
1266,NERES 50 % SP,INSECTICIDA,1000 Insecticida,Polvo Soluble (PS),,,II (Moderadamente Peligroso),Tóxico,Tóxico,Moderadamente Tóxico,NO INFLAMABLE,CORROSIVO,NO EXPLOSIVO,"Sistémico, contacto e ingestión",,ANDREAS GATHMANN,SUMITOMO CHEMICAL CHILE S.A.,03/11/1998,06/18/2027,1178/1984,VIGENTE,
1267,STORM BLOQUE,RODENTICIDA,1000 Insecticida,Cebo En Bloques  (BB),,,IV (Productos Que Normalmente No Ofrecen Peligro),Tóxico,Tóxico,No Peligroso,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Anticoagulante,,"Rubén Roca
Felipe Schneider
Patricio Couso  
Claudio Betanzo Greco",BASF CHILE S.A.,03/24/1998,03/24/2028,1178/1984,VIGENTE,
1274,HALMARK 75 EC,INSECTICIDA,1000 Insecticida,Concentrado Emulsionable (EC),,,II (Moderadamente Peligroso),Muy Tóxico,No Tóxico,Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto e ingestión,,ANDREAS GATHMANN,SUMITOMO CHEMICAL CHILE S.A.,06/10/1998,05/03/2027,1178/1984,VIGENTE,
1293,DETIA GAS EX-T ,INSECTICIDA - ACARICIDA  ,1000 Insecticida,Generador De Gas (GE),,,I a (Sumamente Peligroso),Muy Tóxico,Extremadamente Tóxico,Extremadamente Tóxico,INFLAMABLE,CORROSIVO,NO EXPLOSIVO,Fumigante,,"ALEX HERRERA ALARCÓN 
HÉCTOR MARTÍNEZ BENGOECHEA",DEGESCH DE CHILE LTDA.,08/08/1988,08/08/2028,1178/1984,VIGENTE,
1302,CARBARYL 85 % WP,INSECTICIDA,1000 Insecticida,Polvo Mojable (WP),,,II (Moderadamente Peligroso),Altamente Tóxico,No Indica,Moderadamente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto e ingestión,,IVÁN PINI GIUSSIANO,PILARQUIM CHILE S.A.,04/28/1999,08/02/2027,1178/1984,VIGENTE,
1304,DIMETOATO 40 EC,INSECTICIDA,1000 Insecticida,Concentrado Emulsionable (EC),,,II (Moderadamente Peligroso),Ligeramente Tóxico,Moderadamente Tóxico,Altamente Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"Sistémico, contacto e ingestión",,Gabriel Ormeño Hofer ,ANASAC CHILE S.A.,05/02/1989,05/02/2029,1178/1984,VIGENTE,
1309,TRIGARD 75 WP,INSECTICIDA,1000 Insecticida,Polvo Mojable (WP),,,IV (Productos Que Normalmente No Ofrecen Peligro),Prácticamente No Tóxico,Prácticamente No Tóxico,Prácticamente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico,,Pedro Donoso Maslov,SYNGENTA S.A.,06/02/1989,09/21/2027,1178/1984,VIGENTE,
1319,POUNCE,INSECTICIDA,1000 Insecticida,Concentrado Emulsionable (EC),,,III (Poco Peligroso),Tóxico,No Tóxico,Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto e Ingestión,,"FABIO RICARDO MORETTO 
LUIS GONZALO VIOLLIER SALAS",FMC QUÍMICA CHILE LTDA.,08/16/1989,08/20/2028,1178/1984,VIGENTE,
1335,EVISECT 50 SP,INSECTICIDA,1000 Insecticida,Polvo Soluble (PS),,,III (Poco Peligroso),Muy Tóxico,Tóxico,Ligeramente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"Sistémico, de contacto e ingestión",,CRISTIÁN MATÍAS KONEKAMP KÜSCH,UPL CHILE S.A.,11/02/1989,11/02/2029,1178/1984,VIGENTE,
1339,RAYO 50 EC,INSECTICIDA,1000 Insecticida,Concentrado Emulsionable (EC),,,II (Moderadamente Peligroso),Muy Tóxico,Prácticamente No Tóxico,Altamente Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"Contacto, ingestion, de repelencia y antialimentario",,Gabriel Ormeño Hofer ,ANASAC CHILE S.A.,08/09/2000,08/09/2030,3670/1999,VIGENTE,
1341,FORCE 20 CS SEMILLERO,INSECTICIDA,1000 Insecticida,Suspensión De Encapsulado (CS),,,II (Moderadamente Peligroso),Muy Tóxico,Baja Toxicidad,Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"Contacto, ingestión e inhalación",,Pedro Donoso Maslov,SYNGENTA S.A.,03/26/1990,09/21/2027,1178/1984,VIGENTE,
1372,DIMETOATO 40 % EC,INSECTICIDA,1000 Insecticida,Concentrado Emulsionable (EC),,,II (Moderadamente Peligroso),Tóxico,Tóxico,Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"Sistémico, Contacto e Ingestión",,FACUNDO GANIN,POINT INDUSTRIAL Y COMERCIAL CHILE S.A.,02/12/2001,02/12/2031,3670/1999,VIGENTE,
1377,DIMILIN 48 SC,INSECTICIDA,1000 Insecticida,Suspensión Concentrada (SC),,,IV (Productos Que Normalmente No Ofrecen Peligro),Ligeramente Tóxico,Ligeramente Tóxico,No tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto y estomacal,,CRISTIÁN MATÍAS KONEKAMP KÜSCH,UPL CHILE S.A.,05/06/1991,05/06/2031,1178/1984,VIGENTE,
1380,SANMITE WP ,ACARICIDA,1000 Insecticida,Polvo Mojable (WP),,,IV (Productos Que Normalmente No Ofrecen Peligro),Tóxico,Prácticamente No Tóxico,Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto e ingestión,,Martín Merino Lara,SUMMIT AGRO CHILE SpA.,05/22/2001,05/22/2026,3670/1999,VIGENTE,
1388,PERMETRINA 50 CE,INSECTICIDA,1000 Insecticida,Concentrado Emulsionable (EC),,,II (Moderadamente Peligroso),Muy Tóxico,Prácticamente No Tóxico,Altamente Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto e ingestión,,FACUNDO GANIN,POINT INDUSTRIAL Y COMERCIAL CHILE S.A.,08/22/2001,08/22/2026,3670/1999,VIGENTE,
1390,MIMIC 2 F,INSECTICIDA,1000 Insecticida,Suspensión Concentrada (SC),,,IV (Productos Que Normalmente No Ofrecen Peligro),No tóxico,No tóxico,No tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Regulador de crecimiento,,SHINNOSUKE ONO,SUMMIT AGRO CHILE SpA.,08/04/1994,04/14/2028,1178/1984,VIGENTE,
1409,CLORPIRIFOS 48 % CE,INSECTICIDA,1000 Insecticida,Concentrado Emulsionable (EC),,,II (Moderadamente Peligroso),Tóxico,Tóxico,Tóxico,NO INFLAMABLE,CORROSIVO,NO EXPLOSIVO,"Contacto, ingestión e inhalación",,FACUNDO GANIN,POINT INDUSTRIAL Y COMERCIAL CHILE S.A.,06/17/1999,05/15/2027,1178/1984,CANCELADO,
1411,FASTAC 100 EC,INSECTICIDA,1000 Insecticida,Concentrado Emulsionable (EC),,,II (Moderadamente Peligroso),Tóxico,Baja Toxicidad,Altamente Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto e ingestión,,Claudio Betanzo Greco,BASF CHILE S.A.,01/21/1999,05/09/2027,1178/1984,VIGENTE,
1414,CIPOLYTRINA 25 EC,INSECTICIDA,1000 Insecticida,Concentrado Emulsionable (EC),,,II (Moderadamente Peligroso),Extremadamente Tóxico,Prácticamente No Tóxico,Altamente Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto e ingestión,,Gabriel Ormeño Hofer ,ANASAC CHILE S.A.,05/05/1992,05/05/2027,1178/1984,CANCELADO,
1421,RATADOR AGRO,RODENTICIDA - LAGOMORFICIDA,1000 Insecticida,Cebo En Bloques  (BB),,,IV (Productos Que Normalmente No Ofrecen Peligro),Tóxico,Tóxico,No Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Anticoagulante,,FACUNDO GANIN,POINT INDUSTRIAL Y COMERCIAL CHILE S.A.,06/23/1992,06/26/2027,1178/1984,VIGENTE,
1436,ALFAMAX 10 EC,INSECTICIDA,1000 Insecticida,Concentrado Emulsionable (EC),,,II (Moderadamente Peligroso),Moderadamente Tóxico,Prácticamente No Tóxico,Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto,,FACUNDO GANIN,POINT INDUSTRIAL Y COMERCIAL CHILE S.A.,01/20/1998,05/15/2027,1178/1984,VIGENTE,
1437,APPLAUD 25 WP,INSECTICIDA - REGULADOR DE CRECIMIENTO,1000 Insecticida,Polvo Mojable (WP),,,IV (Productos Que Normalmente No Ofrecen Peligro),Moderadamente Tóxico,Prácticamente No Tóxico,Virtualmente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Regulador de crecimiento,,Gabriel Ormeño Hofer ,ANASAC CHILE S.A.,03/02/1993,03/02/2028,1178/1984,VIGENTE,
1441,CYHEXATIN 60 SC,ACARICIDA,1000 Insecticida,Suspensión Concentrada (SC),,,II (Moderadamente Peligroso),Tóxico,No Tóxico,No tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto,,ROBERTO VICCINELLI,SIPCAM CHILE SpA. ,05/06/1998,03/13/2027,1178/1984,VIGENTE,
1446,CARTAP 50 % WP,INSECTICIDA,1000 Insecticida,Polvo Mojable (WP),,,II (Moderadamente Peligroso),Tóxico,Tóxico,Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto e ingestión,,FACUNDO GANIN,POINT INDUSTRIAL Y COMERCIAL CHILE S.A.,06/24/1998,03/30/2027,1178/1984,VIGENTE,
1447,ACABAN 050 SC,ACARICIDA,1000 Insecticida,Suspensión Concentrada (SC),,,II (Moderadamente Peligroso),Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto e ingestión,,Pedro Donoso Maslov,SYNGENTA S.A.,06/24/1993,07/05/2027,1178/1984,VIGENTE,
1448,METOMIL 90% PS,INSECTICIDA,1000 Insecticida,Polvo Soluble (PS),,,I b (Muy Peligroso),Tóxico,Tóxico,Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"CONTACTO, INGESTION Y TRANSLAMINAR",,CRISTIÁN MATÍAS KONEKAMP KÜSCH,ARYSTA LIFESCIENCE CHILE S.A.,07/05/1998,06/19/2027,1178/1984,CANCELADO,
1455,CONFIDOR 350 SC,INSECTICIDA,1000 Insecticida,Suspensión Concentrada (SC),,,II (Moderadamente Peligroso),Tóxico,No Indica,Altamente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"Sistémico, de contacto e ingestión",,"Vicente Bravo Palma
",BAYER S.A.,09/20/2003,09/20/2028,3670/1999,VIGENTE,
1466,BULLDOCK 125 SC,INSECTICIDA,1000 Insecticida,Suspensión Concentrada (SC),,,III (Poco Peligroso),Muy Tóxico,Poco Tóxico,Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto e ingestión,,"Vicente Bravo Palma
",BAYER S.A.,04/15/1999,11/30/2031,1178/1984,VIGENTE,
1477,ENZONE ,NEMATICIDA,1000 Insecticida,Concentrado Soluble (SL),,,II (Moderadamente Peligroso),Prácticamente No Tóxico,Prácticamente No Tóxico,Virtualmente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto,,CRISTIÁN MATÍAS KONEKAMP KÜSCH,UPL CHILE S.A.,07/29/2000,06/08/2027,3670/1999,VIGENTE,
1482,BALAZO 90 SP,INSECTICIDA,1000 Insecticida,Polvo Soluble (PS),,,I b (Muy Peligroso),Tóxico,Tóxico,Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto e ingestión,,FACUNDO GANIN,POINT INDUSTRIAL Y COMERCIAL CHILE S.A.,08/24/1999,05/15/2027,1178/1984,CANCELADO,
1492,CHLORPYRIFOS 480 EC,INSECTICIDA,1000 Insecticida,Concentrado Emulsionable (EC),,,II (Moderadamente Peligroso),Extremadamente Tóxico,Muy Tóxico,Altamente Tóxico,INFLAMABLE,CORROSIVO,NO EXPLOSIVO,"Contacto, ingestión e inhalación",,IVÁN ALBERTO PINI GIUSSIANO,PILARQUIM CHILE S.A.,11/03/1994,12/17/2027,1178/1984,CANCELADO,
1496,TROYA 4 EC,INSECTICIDA,1000 Insecticida,Concentrado Emulsionable (EC),,,II (Moderadamente Peligroso),Extremadamente Tóxico,Moderadamente Tóxico,Altamente Tóxico,INFLAMABLE,CORROSIVO,NO EXPLOSIVO,"Contacto, ingestión e inhalación",,Gabriel Ormeño Hofer ,ANASAC CHILE S.A.,12/02/1999,12/02/2029,1178/1984,CANCELADO,
1498,CARBARYL 85 WP,INSECTICIDA - FITORREGULADOR,1000 Insecticida,Polvo Mojable (WP),,,II (Moderadamente Peligroso),Moderadamente Tóxico,Prácticamente No Tóxico,Altamente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto e ingestión,,Gabriel Ormeño Hofer ,ANASAC CHILE S.A.,12/14/1999,06/08/2027,1178/1984,VIGENTE,
1509,FAST 1.8 EC,INSECTICIDA - ACARICIDA,1000 Insecticida,Concentrado Emulsionable (EC),,,II (Moderadamente Peligroso),Muy Tóxico,Ligeramente Tóxico,Altamente Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"Contacto, ingestión y translaminar",,Gabriel Ormeño Hofer ,ANASAC CHILE S.A.,07/12/2001,07/12/2031,3670/1999,VIGENTE,
1513,DIAZINON 600 EC,INSECTICIDA,1000 Insecticida,Concentrado Emulsionable (EC),,,II (Moderadamente Peligroso),Extremadamente Tóxico,Extremadamente Tóxico,Altamente Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"Contacto, estomacal y respiratorio",,Gabriel Ormeño Hofer ,ANASAC CHILE S.A.,04/05/2000,04/05/2030,3670/1999,CANCELADO,
1517,PATON 50 WP,INSECTICIDA,1000 Insecticida,Polvo Mojable (WP),,,II (Moderadamente Peligroso),Ligeramente Tóxico,Muy Tóxico,Virtualmente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"Contacto, translaminar y fumigante",,Gabriel Ormeño Hofer ,ANASAC CHILE S.A.,04/17/2000,04/17/2030,3670/1999,VIGENTE,
1518,DITERA WG,NEMATICIDA,1000 Insecticida,Granulado Dispersable (WG),,,IV (Productos Que Normalmente No Ofrecen Peligro),No Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto,Biológico microbiano,ANDREAS GATHMANN,SUMITOMO CHEMICAL CHILE S.A.,02/25/1997,10/03/2026,1178/1984,VIGENTE,
1521,POINTER 15 G,INSECTICIDA,1000 Insecticida,Granulado (GR),,,II (Moderadamente Peligroso),Altamente Tóxico,Altamente Tóxico,Altamente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"Contacto, ingestión e inhalación",,FACUNDO GANIN,POINT INDUSTRIAL Y COMERCIAL CHILE S.A.,05/31/1995,05/31/2030,1178/1984,CANCELADO,
